"segmento","codigo_bovespa","nome_acao","nome_tipo_acao","percentual_participacao_acao","percentual_participacao_acumulada","quantidade_teorica","ano","mes","dia","data_pregao"
"Bens Indls / Máqs e Equips","WEGE3","WEG","ON      NM","3.003","3.003","1482105837.00","2025","07","22","2025-07-22"
"Bens Indls / Máqs e Equips","WEGE3","WEG","ON      NM","2.981","2.981","1482105837.00","2025","07","18","2025-07-18"
"Bens Indls / Mat Transporte","EMBR3","EMBRAER","ON      NM","2.496","2.761","734631701.00","2025","07","18","2025-07-18"
"Bens Indls / Mat Transporte","POMO4","MARCOPOLO","PN      N2","0.265","2.761","666378439.00","2025","07","18","2025-07-18"
"Bens Indls / Mat Transporte","EMBR3","EMBRAER","ON      NM","2.416","2.681","734631701.00","2025","07","22","2025-07-22"
"Bens Indls / Mat Transporte","POMO4","MARCOPOLO","PN      N2","0.265","2.681","666378439.00","2025","07","22","2025-07-22"
"Bens Indls/Transporte","MOTV3","MOTIVA SA","ON      NM","0.614","1.856","991920937.00","2025","07","18","2025-07-18"
"Bens Indls/Transporte","RAIL3","RUMO S.A.","ON      NM","0.972","1.856","1216914397.00","2025","07","18","2025-07-18"
"Bens Indls/Transporte","STBP3","SANTOS BRP","ON      NM","0.270","1.856","409543219.00","2025","07","18","2025-07-18"
"Cons N  Básico / Alimentos Processados","BRFS3","BRF SA","ON      NM","0.819","1.303","832617717.00","2025","07","18","2025-07-18"
"Bens Indls/Transporte","MOTV3","MOTIVA SA","ON      NM","0.595","1.845","991920937.00","2025","07","22","2025-07-22"
"Bens Indls/Transporte","RAIL3","RUMO S.A.","ON      NM","0.976","1.845","1216914397.00","2025","07","22","2025-07-22"
"Bens Indls/Transporte","STBP3","SANTOS BRP","ON      NM","0.274","1.845","409543219.00","2025","07","22","2025-07-22"
"Cons N  Básico / Alimentos Processados","BRFS3","BRF SA","ON      NM","0.860","1.338","832617717.00","2025","07","22","2025-07-22"
"Cons N  Básico / Alimentos Processados","MRFG3","MARFRIG","ON      NM","0.264","1.303","237618211.00","2025","07","18","2025-07-18"
"Cons N  Básico / Alimentos Processados","BEEF3","MINERVA","ON      NM","0.112","1.303","433214256.00","2025","07","18","2025-07-18"
"Cons N  Básico / Alimentos Processados","SMTO3","SAO MARTINHO","ON      NM","0.108","1.303","128130966.00","2025","07","18","2025-07-18"
"Cons N Cíclico / Bebidas","ABEV3","AMBEV S/A","ON","2.827","2.827","4394835131.00","2025","07","18","2025-07-18"
"Cons N Cíclico / Comércio Distr.","ASAI3","ASSAI","ON      NM","0.647","0.730","1345897506.00","2025","07","18","2025-07-18"
"Cons N Cíclico / Comércio Distr.","PCAR3","P.ACUCAR-CBD","ON      NM","0.083","0.730","461260303.00","2025","07","18","2025-07-18"
"Cons N Cíclico / Pr Pessoal Limp","NATU3","NATURA","ON      NM","0.390","0.390","845713747.00","2025","07","18","2025-07-18"
"Cons N Ciclico/Agropecuária","SLCE3","SLC AGRICOLA","ON      NM","0.169","0.169","194261422.00","2025","07","18","2025-07-18"
"Cons N  Básico / Alimentos Processados","MRFG3","MARFRIG","ON      NM","0.262","1.338","237618211.00","2025","07","22","2025-07-22"
"Cons N  Básico / Alimentos Processados","BEEF3","MINERVA","ON      NM","0.107","1.338","433214256.00","2025","07","22","2025-07-22"
"Cons N  Básico / Alimentos Processados","SMTO3","SAO MARTINHO","ON      NM","0.109","1.338","128130966.00","2025","07","22","2025-07-22"
"Cons N Cíclico / Bebidas","ABEV3","AMBEV S/A","ON","2.848","2.848","4394835131.00","2025","07","22","2025-07-22"
"Cons N Cíclico / Comércio Distr.","ASAI3","ASSAI","ON      NM","0.632","0.706","1345897506.00","2025","07","22","2025-07-22"
"Cons N Cíclico / Comércio Distr.","PCAR3","P.ACUCAR-CBD","ON      NM","0.074","0.706","461260303.00","2025","07","22","2025-07-22"
"Cons N Cíclico / Pr Pessoal Limp","NATU3","NATURA","ON      NM","0.384","0.384","845713747.00","2025","07","22","2025-07-22"
"Cons N Ciclico/Agropecuária","SLCE3","SLC AGRICOLA","ON      NM","0.170","0.170","194261422.00","2025","07","22","2025-07-22"
"Consumo Cíclico / Comércio","AZZA3","AZZAS 2154","ON      NM","0.238","1.355","136643320.00","2025","07","18","2025-07-18"
"Consumo Cíclico / Comércio","LREN3","LOJAS RENNER","ON      NM","0.922","1.355","1030587204.00","2025","07","18","2025-07-18"
"Consumo Cíclico / Comércio","MGLU3","MAGAZ LUIZA","ON      NM","0.138","1.355","353448195.00","2025","07","18","2025-07-18"
"Consumo Cíclico / Comércio","PETZ3","PETZ","ON  ATZ NM","0.057","1.355","295519280.00","2025","07","18","2025-07-18"
"Consumo Cíclico / Tecid Vest Calç","VIVA3","VIVARA S.A.","ON      NM","0.148","0.148","123160591.00","2025","07","18","2025-07-18"
"Consumo Cíclico/Constr Civil","CYRE3","CYRELA REALT","ON      NM","0.330","0.654","257174951.00","2025","07","18","2025-07-18"
"Consumo Cíclico/Constr Civil","DIRR3","DIRECIONAL","ON      NM","0.215","0.654","108541907.00","2025","07","18","2025-07-18"
"Consumo Cíclico/Constr Civil","MRVE3","MRV","ON      NM","0.109","0.654","375507695.00","2025","07","18","2025-07-18"
"Consumo Cíclico/Viagens e Lazer","CVCB3","CVC BRASIL","ON      NM","0.054","0.409","450926127.00","2025","07","18","2025-07-18"
"Consumo Cíclico/Viagens e Lazer","SMFT3","SMART FIT","ON      NM","0.355","0.409","328547988.00","2025","07","18","2025-07-18"
"Diversos","COGN3","COGNA ON","ON      NM","0.244","2.221","1872454628.00","2025","07","18","2025-07-18"
